product_id,warehouse_id,current_stock,reorder_point,safety_stock,last_updated
85123A,W002,137,79,14,2026-06-30 20:00:49.794904
71053,W001,341,40,16,2026-06-30 20:00:49.794904
84406B,W002,246,58,28,2026-06-30 20:00:49.794904
84029G,W002,437,39,16,2026-06-30 20:00:49.794904
84029E,W002,289,47,24,2026-06-30 20:00:49.794904
22752,W002,313,48,15,2026-06-30 20:00:49.794904
21730,W002,312,32,12,2026-06-30 20:00:49.794904
22633,W003,319,52,22,2026-06-30 20:00:49.794904
22632,W001,265,40,14,2026-06-30 20:00:49.794904
84879,W003,462,45,14,2026-06-30 20:00:49.794904
22745,W003,255,36,19,2026-06-30 20:00:49.794904
22748,W003,169,60,12,2026-06-30 20:00:49.794904
22749,W002,477,32,16,2026-06-30 20:00:49.794904
22310,W002,290,76,15,2026-06-30 20:00:49.794904
84969,W002,28,47,25,2026-06-30 20:00:49.794904
22623,W002,139,33,10,2026-06-30 20:00:49.794904
22622,W003,91,57,17,2026-06-30 20:00:49.794904
21754,W003,166,66,28,2026-06-30 20:00:49.794904
21755,W002,369,78,14,2026-06-30 20:00:49.794904
21777,W001,320,65,30,2026-06-30 20:00:49.794904
48187,W001,139,67,28,2026-06-30 20:00:49.794904
22960,W002,412,33,20,2026-06-30 20:00:49.794904
22913,W002,428,37,28,2026-06-30 20:00:49.794904
22912,W001,109,53,12,2026-06-30 20:00:49.794904
22914,W003,146,79,24,2026-06-30 20:00:49.794904
21756,W002,84,49,13,2026-06-30 20:00:49.794904
22728,W002,237,78,15,2026-06-30 20:00:49.794904
22727,W002,434,30,28,2026-06-30 20:00:49.794904
22726,W003,305,45,19,2026-06-30 20:00:49.794904
21724,W002,210,62,19,2026-06-30 20:00:49.794904
21883,W001,172,44,27,2026-06-30 20:00:49.794904
10002,W003,336,49,16,2026-06-30 20:00:49.794904
21791,W002,161,65,10,2026-06-30 20:00:49.794904
21035,W002,214,31,18,2026-06-30 20:00:49.794904
22326,W002,380,67,11,2026-06-30 20:00:49.794904
22629,W003,243,80,17,2026-06-30 20:00:49.794904
22659,W003,135,40,11,2026-06-30 20:00:49.794904
22631,W002,416,43,23,2026-06-30 20:00:49.794904
22661,W003,89,30,19,2026-06-30 20:00:49.794904
21731,W001,347,46,10,2026-06-30 20:00:49.794904
22900,W001,29,68,29,2026-06-30 20:00:49.794904
21913,W001,95,77,13,2026-06-30 20:00:49.794904
